Title,LastName,FirstName,MaidenName,City,Postcode,Address
Miss,Compton,Sara Rebecca,,,,
Mr.,Allum,Owen George,,Gloucester,GL4 145,"Studio 42A, Read extension"
Master,Moubarek,Halim Gonios ,,,,
Dr.,Brewe,Arthur Jackson,,,,
Mr.,Patchett,George,,Peterborough,PE0 YXB,6 Burgess view
Miss,Murphy,Margaret Jane,,Medway,ME9 6IG,"Flat 10, Williams flats"
Miss,Cherry,Gladys,,Nottingham,NG4 A4F,2 Noble alley
Mrs.,Arnold-Franchi,Josefine,Franchi,Hebrides,HS9 DIV,0 Laura canyon
Mr.,Gill,John William,,Dundee,DD2 Y82,"Studio 42B, Reynolds stravenue"
Mr.,Karaic,Milan,,Belfast,BT8 R6Q,521 Jonathan land
Mr.,Matthews,William John,,Kilmarnock,KA5 X1D,447 Jade ridge
Mr.,Moran,Daniel J,,Enfield,EN7 E2N,208 Abigail lights
Mr.,Ponesell,Martin,,Southall,UB1 UNP,3 Victoria square
Mrs.,Asplund,Selma Augusta Emilia,Johansson,Lancaster,LA3 VM9,"Flat 02, Mohamed bypass"
Mrs.,Holverson,Mary Aline,Towner,Reading,RG8 HWS,"Studio 09I, Smith port"
Mrs.,Spencer,Marie,Eugenie,,,
Mr.,Novel,Mansouer,,,,
Mr.,Gallagher,Martin,,Galashiels,TD6 7XG,"Flat 4, Sims heights"
Mr.,Dick,Albert Adrian,,Lerwick,ZE4 TYE,"Flat 34q, Ahmed river"
Mr.,Morley,William,,Bromley,BR0 PMA,"Flat 51, Hughes bypass"
Mr.,Bailey,Percy Andrew,,Bromley,BR1 TEY,"Studio 55, Howard ville"
Mrs.,Goldenberg,Edwiga,Grabowska,,,
Mr.,Ostby,Engelhart Cornelius,,,,
Mr.,Smart,John Montgomery,,Harrogate,HG6 DSD,8 Thomas roads
Mr.,Larsson,Bengt Edvin,,Manchester,M22 SVN,"Studio 8, Alexander hill"
Mr.,Guggenheim,Benjamin,,,,
Miss,Lefebre,Ida,,Bournemouth,BH5 DYA,"Flat 6, Colin rapids"
Miss,Hegarty,"Hanora ""Nora""",,Bolton,BL2 J53,"Flat 4, Joe island"
Mrs.,Backstrom,Maria Mathilda,Gustafsson,Chelmsford,CM0 RAH,329 Marcus gateway
Mr.,Hansen,Henrik Juul,,Glasgow,G44 BJ9,"Studio 19E, James squares"
Miss,Keane,Nora A,,York,YO0 W9U,023 Barlow forges
Mr.,Burke,Jeremiah,,Milton Keynes,MK3 7MY,"Studio 28, Holden avenue"
Miss,Fortune,Alice Elizabeth,,Salisbury,SP4 9BN,108 Tony common
Master,Navratil,Edmond Roger,,Enfield,EN5 BC5,417 Cook fords
Mr.,Crease,Ernest James,,Telford,TF3 ZIX,"Flat 93N, Bryan field"
Mrs.,Silvey,Alice,Munger,York,YO6 67A,180 Julia motorway
Mr.,Artagaveytia,Ramon,,,,
Mr.,Jardin,Jose Neto,,Swindon,SN3 6DG,61 Green harbors
Mrs.,Mack,Mary,Mary,Darlington,DL9 KJ8,200 Bennett lodge
Master,Skoog,Karl Thorsten,,Bromley,BR2 5CN,"Flat 78C, Marc squares"
Mr.,Nicholson,Arthur Ernest,,Croydon,CR8 COQ,"Flat 7, Cross lake"
Mr.,Niskanen,Juha,,Falkirk,FK2 UTK,"Flat 61, Fisher overpass"
Mr.,Hosono,Masabumi,,Bath,BA7 JF6,"Studio 44H, Dawson views"
Mr.,Hendekovic,Ignjac,,Darlington,DL2 NR1,"Studio 23, Ryan mission"
Mr.,de Mulder,Theodore,,Colchester,CO5 PEK,"Flat 0, Kim junction"
Mr.,Kiernan,Philip,,Southall,UB8 JDU,304 Gavin unions
Mrs.,Carter,Lilian,Hughes,Wolverhampton,WV2 CML,71 Jake shoals
Mr.,Perkin,John Henry,,Blackburn,BB9 8SS,"Studio 43, Read light"
Mrs.,Pears,Edith,Wearne,Coventry,CV8 2MO,5 Billy parks
Mr.,Daniel,Robert Williams,,Peterborough,PE3 VG4,613 Smith valley
Mr.,Beavan,William Thomas,,Kirkcaldy,KY0 F3Z,736 Ellie vista
Mr.,Coleff,Satio,,Llandrindod Wells,LD9 KQ1,51 Goddard mission
Mr.,Keefe,Arthur,,Newcastle upon Tyne,NE9 GLY,4 Yvonne throughway
Mr.,Calic,Petar,,St Albans,AL5 3V2,"Studio 62D, Terry motorway"
Miss,Ford,"Doolina Margaret ""Daisy""",,Motherwell,ML6 P2L,17 Collins garden
Miss,Dahlberg,Gerda Ulrika,,London,EC2 L2P,"Studio 28, Brown lodge"
Capt.,Crosby,Edward Gifford,,Newport,NP7 RSR,418 Cooper island
Mr.,Van der hoef,Wyckoff,,Lincoln,LN9 IL9,229 Clarke stravenue
Mr.,Harper,Henry Sleeper,,,,
Miss,Zabour,Thamine,,,,
Mr.,Reeves,David,,Manchester,M46 YNL,212 Janet glens
Mr.,Dahl,Karl Edwart,,Motherwell,ML7 5FL,"Flat 4, Leigh street"
Mrs.,Johnson,Elisabeth Vilhelmina,Berg,Birmingham,B99 GZC,"Flat 2, Collins ways"
Mr.,Sharp,Percival James R,,Perth,PH6 7PP,6 Lucy villages
Mrs.,Taylor,Juliet Cummins,Wright,Dudley,DY5 VNQ,654 Griffiths passage
Mr.,Jonkoff,Lalio,,Newport,NP2 318,"Studio 11C, Saunders forge"
Mr.,Ibrahim Shawah,Yousseff,,,,
Mme.,Aubart,Leontine Pauline,,,,
Mr.,Hagland,Konrad Mathias Reiersen,,Harrow,HA5 NRD,"Flat 74I, Taylor burgs"
Mr.,Barah,Hanna Assi,,,,
Mr.,Laroche,Joseph Philippe Lemercier,,,,
Miss,Allison,Helen Loraine,,Edinburgh,EH5 O7Z,"Studio 75, Geraldine meadows"
Mr.,Mitkoff,Mito,,Bradford,BD8 BRF,6 Kayleigh square
Miss,Lindahl,Agda Thorilda Viktoria,,Blackburn,BB5 2JD,38 Andrews glens
Mr.,Johanson,Jakob Alfred,,Southend-on-Sea,SS0 MQP,719 Myers circle
Mr.,Toufik,Nakli,,,,
Mr.,Hart,Benjamin,,Swansea,SA2 JYF,"Studio 3, Kirsty harbors"
Mr.,Clifford,George Quincy,,Wakefield,WF5 Q8G,461 Robert underpass
Miss,Quick,Phyllis May,,Crewe,CW8 4H1,0 Elliott trail
Mr.,Laleff,Kristo,,Worcester,WR6 Y7X,14 White inlet
Mr.,Elsbury,William James,,Cardiff,CF2 AHW,"Flat 3, Lynne avenue"
Mr.,Asim,Adola,,Redhill,RH9 HGI,50 Carl circles
Master,Skoog,Harald,,Lancaster,LA1 G0I,671 Cooper port
Miss,O'Driscoll,Bridget,,Southampton,SO4 U2J,628 Holly pine
Mr.,Reed,James George,,Paisley,PA0 AEW,"Studio 71V, Jill plains"
Miss,Sjoblom,Anna Sofia,,Kirkcaldy,KY2 GS0,714 Brown park
Mr.,Newell,Arthur Webster,,,,
Mr.,Gustafsson,Anders Vilhelm,,Northampton,NN6 MMU,"Flat 70, Baker island"
Mrs.,Moussa,Mantoura,Boulos,,,
Mr.,Pernot,Rene,,,,
Mr.,Lennon,Denis,,Salisbury,SP9 A5I,"Studio 99, Ryan canyon"
Mr.,Johannesen-Bratthammer,Bernt,,Wigan,WN5 R2R,4 Morgan pine
Mrs.,Vander Planke,Emelia Maria,Vandemoortele,London,N16 69J,"Flat 26w, Thomas bridge"
Miss,Burns,Elizabeth Margaret,,,,
Miss,Andersson,Ingeborg Constanzia,,Dumfries,DG2 D3E,804 Linda valleys
Mr.,Calic,Jovo,,Wakefield,WF5 PSP,4 White viaduct
Mr.,Stranden,Juho,,Swindon,SN2 T4N,96 Green divide
Mrs.,Goodwin,Augusta,Tyler,Dorchester,DT1 X26,92 Stacey forge
Mr.,Sedgwick,Charles Frederick Waddington,,Wakefield,WF3 JS4,"Flat 2, Sean street"
Mr.,Simmons,John,,Sutton,SM7 H6O,"Flat 19, Tony locks"
Miss,Canavan,Mary,,Teesside,TS7 8MG,4 James mount
Mr.,Hodges,Henry Price,,Paisley,PA3 L6P,54 Black spur
Mr.,Anderson,Harry,,Stoke-on-Trent,ST9 4CO,8 Cooper light
Mr.,Staneff,Ivan,,Wolverhampton,WV9 JD4,836 Patel green
Master,Hamalainen,Viljo,,Croydon,CR6 9L4,007 Jennifer trail
Mr.,Danbom,Ernst Gilbert,,Medway,ME4 EQK,"Studio 2, Simon pike"
Mr.,Lesurer,Gustave J,,,,
Mr.,Johansson,Gustaf Joel,,Slough,SL9 GUM,671 Hazel rapids
Mr.,Chip,Chang,,Llandrindod Wells,LD6 4IQ,8 Barnett rue
Mr.,Daly,Peter Denis ,,Perth,PH3 SEX,"Flat 6, Gardiner ports"
Miss,Strandberg,Ida Sofia,,Newport,NP4 KPK,970 Horton run
Mrs.,Peter,Catherine,Rizk,,,
Mr.,Eklund,Hans Linus,,Canterbury,CT3 HK7,64 Gardiner crossing
Col.,Simonius-Blumer,Oberst Alfons,,,,
Mr.,Stewart,Albert A,,,,
Mr.,Parkes,"Francis ""Frank""",,Newport,NP2 LK7,"Flat 5, Sylvia rue"
Mr.,Sutehall,Henry Jr,,Kilmarnock,KA1 NO8,"Studio 55b, Smith village"
Mr.,Widegren,Carl/Charles Peter,,Crewe,CW6 ZCF,"Flat 3, Wright forest"
Mr.,O'Connell,Patrick D,,Durham,DH4 610,134 Haynes gardens
Mr.,del Carlo,Sebastiano,,,,
Mr.,Lulic,Nikola,,Medway,ME9 8EO,212 Janice square
Mr.,Bowen,"David John ""Dai""",,Nottingham,NG9 ZMO,0 Wilkinson inlet
Miss,Hippach,Jean Gertrude,,,,
Mr.,Olsen,Henry Margido,,London,EC8 FPG,73 Billy ramp
Miss,Palsson,Torborg Danira,,Darlington,DL7 HDD,"Studio 54, Dobson causeway"
Mr.,Gillespie,William Henry,,Warrington,WA8 S0A,"Studio 43h, Baxter crossroad"
Mr.,Mudd,Thomas Charles,,Salisbury,SP1 UVG,"Flat 00, Lydia unions"
Mr.,Flynn,James,,Bromley,BR1 3BP,715 Lynda glen
Miss,Harknett,Alice Phoebe,,Southall,UB3 JON,3 Stewart stravenue
Mr.,Mionoff,Stoytcho,,Motherwell,ML7 ZYG,5 Dennis hills
Mr.,Cairns,Alexander,,Wigan,WN4 F0N,21 Annette drive
Mr.,Shellard,Frederick William,,Truro,TR2 INF,038 Taylor expressway
Mr.,Penasco y Castellana,Victor de Satode,,,,
Miss,Lines,Mary Conover,,Sutton,SM2 DGG,4 Stanley courts
Mr.,Vande Walle,Nestor Cyriel,,Oxford,OX6 RFJ,"Studio 1, Ellie harbors"
Mr.,Foreman,Benjamin Laventall,,,,
Master,Panula,Juha Niilo,,Bath,BA1 EGC,"Flat 45, Wilson meadow"
Miss,Baclini,Eugenie,,,,
Mrs.,Baxter,Helene DeLaudeniere,Chaput,,,
Mrs.,Kenyon,Frederick R ,Marion,Dorchester,DT1 Y78,9 Graham brook
Mr.,Hoyt,Frederick Maxfield,,Darlington,DL9 FCV,"Flat 4, Elliot glens"
Mr.,Taylor,Elmer Zebley,,Telford,TF7 Z26,9 Williams hill
Mr.,Pickard,Berk ,,Dudley,DY1 EF1,614 Harvey forge
Mr.,Kassem,Fared,,,,
Miss,Strom,Telma Matilda,,Doncaster,DN5 OOJ,4 Glen lodge
Miss,Newsom,Helen Monypeny,,London,NW3 NXM,1 Richardson forges
Mr.,Sivic,Husein,,Belfast,BT3 TNA,3 Brown valley
Master,Coutts,"Eden Leslie ""Neville""",,Edinburgh,EH0 1OB,"Flat 46m, Bowen inlet"
Mr.,Saalfeld,Adolphe,,Leicester,LE6 KSS,"Flat 91d, Lynn village"
Dr.,Stahelin-Maeglin,Max,,,,
Mr.,Baxter,Quigg Edmond,,,,
Mrs.,Bishop,Helen,Walton,,,
Miss,Henry,Delia,,Huddersfield,HD1 B4T,"Studio 5, Powell tunnel"
Miss,Bonnell,Elizabeth,,Southend-on-Sea,SS5 M65,588 Glenn parkway
Miss,Perreault,Anne,,Enfield,EN1 GUP,"Studio 49C, Deborah courts"
Mr.,Zimmerman,Leo,,Norwich,NR5 7JB,9 Bennett lights
Master,Thomas,Assad Alexander,,,,
Miss,Cameron,Clear Annie,,Exeter,EX0 TTB,718 Sandra overpass
Mr.,Attalah,Sleiman,,,,
Mrs.,Chibnall,Edith Martha,Bowerman,Carlisle,CA7 GNL,4 Eric mission
Mrs.,Taussig,Tillie,Mandelbaum,Enfield,EN5 DWW,121 Sandra roads
Mr.,Klaber,Herman,,Glasgow,G54 HPL,"Studio 12, Chandler trail"
Mr.,Mernagh,Robert,,London,E39 LIM,53 Danielle green
Mr.,Ivanoff,Kanio,,Hull,HU1 I06,34 Davis centers
Dr.,Leader,Alice ,Farnham,Chelmsford,CM3 1RW,9 Anne falls
Mr.,Harmer,Abraham ,,Huddersfield,HD8 K10,398 Ian unions
Mr.,Leeni,Fahim ,,,,
Master,Rice,Eugene,,Kilmarnock,KA0 YF7,"Flat 79K, Smith spurs"
Mr.,Theobald,Thomas Leonard,,Truro,TR4 BZE,"Studio 2, Margaret parkway"
Miss,Mockler,"Helen Mary ""Ellie""",,Sutton,SM2 9HU,"Flat 11F, Carr route"
Mr.,Mamee,Hanna,,,,
Miss,Wells,Joan,,London,W29 O6T,"Flat 47, Rhys junction"
Mr.,Radeff,Alexander,,Sunderland,SR8 02R,022 Reeves via
Miss,McGowan,"Anna ""Annie""",,Ipswich,IP7 8Q4,6 Bennett hollow
Mr.,Fahlstrom,Arne Jonas,,London,EC7 88N,"Studio 79t, Edwards spur"
Mr.,Kvillner,Johan Henrik Johannesson,,Aberdeen,AB9 IU2,"Studio 7, Nicholson harbors"
Mrs.,Turpin,Dorothy Ann,Wonnacott,Ipswich,IP2 12T,403 Dean walk
Mr.,Colley,Edward Pomeroy,,Swansea,SA0 RZH,93 Raymond well
Mrs.,Osman,Mara,,Swansea,SA2 O3U,3 Francis corners
Mr.,Lindqvist,Eino William,,Reading,RG0 CD9,49 Timothy fall
Mr.,Kimball,Edwin Nelson Jr,,Darlington,DL7 OHJ,4 Jennifer keys
Mr.,Giles,Frederick Edward,,Hemel Hempstead,HP1 ETW,69 Lynne coves
Mrs.,Rosblom,Helena,Wilhelmina,Durham,DH5 9ZR,907 Hartley ville
Mr.,Hansen,Henry Damsgaard,,London,SW7 DCH,604 Colin extensions
Master,Asplund,Edvin Rojj Felix,,Kirkwall,KW6 PUV,"Flat 9, O'Connor ranch"
Major.,Butt,Archibald Willingham,,Liverpool,L77 U2T,"Studio 69v, Griffiths mission"
Mrs.,Brown,Margaret,Tobin,,,
Miss,McGovern,Mary,,Sunderland,SR1 69J,33 Wood expressway
Mr.,Wright,George,,Hebrides,HS0 MDH,79 Declan islands
Mlle.,Mayne,"""Mrs de","Villiers""",,,
Mr.,Cook,Jacob,,Exeter,EX4 GIK,480 Aaron trail
Mr.,Yousif,Wazli,,,,
Mr.,Berriman,William John,,Llandrindod Wells,LD1 PZU,504 Smith squares
Mr.,Johnson,William Cahoone Jr,,Northampton,NN6 VDX,3 Scott prairie
Mr.,Ali,Ahmed,,Leicester,LE1 XVR,99 Richards motorway
Mr.,Abbing,Anthony,,Hull,HU6 9KS,53 Hall land
Mrs.,Jacobsohn,Amy Frances,Christy,Salisbury,SP0 MRL,"Studio 89T, Nicole hollow"
Mr.,Dean,Bertram Frank,,Guildford,GU8 9F9,"Flat 7, George harbor"
Mr.,Braund,Lewis Richard,,Doncaster,DN9 910,956 Marsh forest
Mr.,Van Impe,Jean Baptiste,,Gloucester,GL8 G1J,552 Ashleigh drive
Mr.,Badt,Mohamed,,,,
Master,Goodwin,Sidney Leonard,,Leicester,LE8 JZ0,"Flat 94, Grant ports"
Miss,Salkjelsvik,Anna Kristine,,Ipswich,IP5 O3P,"Flat 3, Samuel forges"
Mr.,Hale,Reginald,,Belfast,BT3 7SR,924 Green vista
Mr.,Graham,George Edward,,London,E26 37X,0 Katy cape
Mr.,Fortune,Charles Alexander,,London,SE4 MER,057 Shane freeway
Mr.,Goldschmidt,George B,,,,
Mr.,Harder,George Achilles,,,,
Mr.,Sawyer,Frederick Charles,,Southampton,SO4 QOK,2 Charlene isle
Miss,Newell,Madeleine,,,,
Mr.,Horgan,John,,London,W92 69X,28 Joanna tunnel
Mr.,Smith,Richard William,,Truro,TR5 WCR,83 Hugh park
Miss,Heininen,Wendla Maria,,Romford,RM9 Q7A,"Studio 78, Bird forest"
Mr.,Hakkarainen,Pekka Pietari,,Derby,DE2 2XC,"Studio 57Y, Jones burg"
Master,Rice,George Hugh,,Worcester,WR3 ZQO,"Studio 23J, Thompson path"
Mr.,Thayer,John Borland Jr,,,,
Mr.,Woolner,Hugh,,London,NW9 TA9,"Studio 66, Collins field"
Mr.,Sirayanian,Orsen,,,,
Miss,Mangan,Mary,,Bristol,BS1 12U,7 Kyle lodge
Mr.,Watson,Ennis Hastings,,Exeter,EX3 5AY,"Flat 86r, Anna shores"
Mrs.,Faunthorpe,Elizabeth Anne,Wilkinson,Lancaster,LA1 6MY,"Studio 05P, Max knolls"
Mr.,Nirva,Iisakki Antino Aijo,,Hebrides,HS7 KU9,68 Berry prairie
Mr.,Garfirth,John,,Warrington,WA0 VNZ,0 Elliott forges
Miss,Ford,"Robina Maggie ""Ruby""",,Newcastle upon Tyne,NE7 9TO,9 Ward cliffs
Mr.,de Pelsmaeker,Alfons,,Guildford,GU0 Y81,"Studio 80s, Stacey camp"
Mr.,Maisner,Simon,,Falkirk,FK6 XEJ,4 Mandy junction
Mr.,Collander,Erik Gustaf,,Stockport,SK3 MU3,34 Graham brooks
Mr.,Naidenoff,Penko,,Dudley,DY6 NUJ,56 Bryant drives
Mr.,Fynney,Joseph J,,Carlisle,CA8 JRW,"Flat 48, Timothy mills"
Mr.,Ali,William,,Carlisle,CA2 5NH,034 Samuel key
Mr.,Pears,Thomas Clinton,,Galashiels,TD7 XR0,826 Skinner island
Mr.,Gee,Arthur H,,London,N71 ED8,34 Elizabeth expressway
Mr.,Molson,Harry Markland,,Luton,LU1 2XG,449 Anthony ridge
Mr.,Elias,Dibo,,,,
Mr.,Sjostedt,Ernst Adolf,,Hebrides,HS7 3RJ,"Studio 71c, Stevenson valley"
Mrs.,West,Ada Mary,Worth,Coventry,CV4 7CJ,020 Jodie unions
Mr.,Moran,James,,Southall,UB8 8SZ,9 Teresa lakes
Mr.,Culumovic,Jeso,,York,YO1 7N2,"Studio 47R, Thomas overpass"
Mr.,McCormack,Thomas Joseph,,Aberdeen,AB0 Q4B,"Studio 16C, Lucas track"
Miss,Carter,Lucile Polk,,Swindon,SN5 SN2,7 Ashleigh wall
Mr.,Renouf,Peter Henry,,Telford,TF5 ABJ,782 Smith trail
Mrs.,Panula,Maria Emilia,Ojala,Swindon,SN2 UFS,"Flat 81, Bradley locks"
Mrs.,Lahtinen,Anna,Sylfven,Plymouth,PL0 Z34,"Flat 44, Dale villages"
Miss,O'Dwyer,"Ellen ""Nellie""",,Blackburn,BB4 YFR,113 Henry point
Miss,Doling,Elsie,,Shrewsbury,SY0 NJH,0 Arthur mountain
Miss,Andersson,Erna Alexandra,,Crewe,CW3 UDX,3 Denis forge
Mr.,Hoyt,William Fisher,,,,
Ms.,Reynaldo,Encarnacion,,Enfield,EN1 PKC,860 Hannah prairie
Mr.,Lobb,William Arthur,,Watford,WD9 06D,94 Jones turnpike
Mrs.,Carter,Lucile,Polk,Dumfries,DG8 M2D,"Flat 66Z, Bowen rue"
Mrs.,Thorneycroft,Florence Kate,White,Oxford,OX3 1W5,"Studio 84q, Scott mill"
Mr.,Jacobsohn,Sidney Samuel,,Taunton,TA1 8VI,291 Burgess grove
Mrs.,Skoog,Anna Bernhardina,Karlsson,Peterborough,PE6 JQT,"Studio 88T, Michelle terrace"
Dr.,Pain,Alfred,,Hemel Hempstead,HP9 VTG,"Flat 84, Allen manors"
Mr.,Mitchell,Henry Michael,,Bath,BA8 QII,"Studio 84, Jill coves"
Master,Caldwell,Alden Gates,,Perth,PH7 V7Q,224 Kaur centers
Master,Richards,George Sibley,,Lincoln,LN5 4N8,0 Bibi knoll
Mr.,Balkic,Cerin,,Torquay,TQ4 23Z,54 Rachael causeway
Mr.,Nenkoff,Christo,,Southampton,SO3 STE,"Studio 7, Jeffrey island"
Mr.,Lam,Ali,,Carlisle,CA5 A8N,"Studio 6, Guy mountain"
Mr.,Frolicher-Stehli,Maxmillian,,,,
Mr.,Giglio,Victor,,,,
Major.,Peuchen,Arthur Godfrey,,Sheffield,S02 YOX,888 Collier lock
Mr.,Lahoud,Sarkis,,,,
Mr.,Elias,Tannous,,,,
Mr.,Skoog,Wilhelm,,Enfield,EN1 4GF,078 Howard mountain
Miss,Barbara,Saiide,,,,
Miss,Allen,Elisabeth Walton,,Wakefield,WF1 F6R,8 Howarth springs
Mr.,Wiklund,Jakob Alfred,,London,NW7 UVF,20 Baldwin cape
Miss,Eustis,Elizabeth Mussey,,,,
Miss,Mannion,Margareth,,Belfast,BT7 8JZ,8 Maria forge
Miss,Kink-Heilmann,Luise Gretchen,,St Albans,AL1 Q6P,6 Webb trail
Mr.,Hart,Henry,,Bath,BA3 J5K,4 Watkins creek
Mr.,Cribb,John Hatfield,,London,E05 E5K,81 Elaine way
Mr.,Alhomaki,Ilmari Rudolf,,Sunderland,SR1 PS9,"Studio 12, Lynn skyway"
Mr.,Gavey,Lawrence,,Doncaster,DN2 XKI,"Studio 61i, Mitchell turnpike"
Mr.,Goldsmith,Frank John,,Torquay,TQ9 5S5,"Flat 6, Roberts ports"
Mr.,Windelov,Einar,,Belfast,BT5 CYN,0 Harris parks
Mr.,Olsen,Karl Siegwart Andreas,,Chelmsford,CM8 3UK,"Studio 69, Davies fields"
Mr.,Ling,Lee,,Falkirk,FK1 LQV,22 Jones valley
Mr.,West,Edwy Arthur,,Liverpool,L48 GJ4,30 Williams gardens
Mrs.,Hippach,Ida Sophia,Fischer,,,
Mrs.,Andersson,Alfrida Konstantia,Brogren,Cambridge,CB9 1Y2,"Studio 5, David light"
Miss,Troutt,"Edwina Celia ""Winnie""",,Bolton,BL0 AR1,"Studio 74, Leah dale"
Mr.,Parr,William Henry Marsh,,Watford,WD2 200,"Flat 1, Rees village"
Mr.,Marechal,Pierre,,,,
Mr.,Soholt,Peter Andreas Lauritz Andersen,,Lerwick,ZE5 AZU,"Flat 7, Murphy isle"
Mrs.,Touma,Hanne Youssef,Razi,,,
Mr.,Lundahl,Johan Svensson,,Stockport,SK8 XSU,3 Barton turnpike
Mrs.,Stone,Martha,Evelyn,,,
Mr.,Givard,Hans Kristensen,,Bromley,BR1 17N,"Flat 24, Cox fall"
Mrs.,Moor,Beila,Beila,Perth,PH5 Z5T,"Studio 0, Gerard burgs"
Mr.,Eitemiller,George Floyd,,Watford,WD2 QJC,"Studio 8, Holloway green"
Mr.,Fry,Richard,,Dorchester,DT6 SP4,"Studio 6, Robinson extension"
Mr.,Robbins,Victor,,,,
Mrs.,Pinsky,Rosa,Rosa,Kilmarnock,KA1 PHJ,"Flat 85, Atkinson islands"
Mr.,Dakic,Branko,,Bristol,BS3 TE4,298 Kate drive
Miss,Serepeca,Augusta,,,,
Mrs.,O'Brien,"Johanna ""Hannah""",Godfrey,Doncaster,DN0 R95,"Studio 32G, Dean rest"
Mr.,McMahon,Martin,,Chester,CH8 9XZ,8 Allen well
Mr.,Brocklebank,William Alfred,,Darlington,DL8 BMA,"Studio 2, White locks"
Miss,Minahan,Daisy E,,Harrow,HA4 XPN,6 Nelson station
Miss,Davis,Mary,,Darlington,DL9 073,6 Harrison walks
Mr.,Todoroff,Lalio,,Plymouth,PL2 4K1,"Flat 50Z, Lowe alley"
Mr.,Lovell,John Hall ,,Oxford,OX7 2QT,0 Banks park
Miss,Andersen-Jensen,Carla Christine Nielsine,,Wigan,WN0 TRG,64 Page stravenue
Mrs.,Hocking,Eliza,Needs,Southampton,SO4 GAS,20 Barry forges
Mrs.,Astor,Madeleine Talmadge,Force,,,
Mr.,Sivola,Antti Wilhelm,,Preston,PR4 8XI,"Flat 90g, Gemma hills"
Mrs.,Hakkarainen,Elin Matilda,Dolck,Motherwell,ML8 2UG,"Studio 63W, Marilyn road"
Mr.,Johansson,Erik,,Hull,HU7 1JY,"Studio 4, Evans pine"
Mr.,Panula,Ernesti Arvid,,Stockport,SK4 YHB,"Flat 34, Irene springs"
Mr.,Blank,Henry,,,,
Mr.,White,Percival Wayland,,Warrington,WA7 XCR,"Studio 6, Norris inlet"
Mr.,Berglund,Karl Ivar Sven,,Kilmarnock,KA1 RKQ,"Studio 62t, Newman light"
Mrs.,Hoyt,Jane Anne,Forby,Ipswich,IP9 55Q,13 Doyle isle
Mr.,Lester,James,,Brighton,BN2 DD7,60 Joel corner
Mr.,Rintamaki,Matti,,Bath,BA9 4M3,"Studio 9, Victoria mission"
Mr.,Adams,John,,Walsall,WS7 ZXL,"Studio 61, Guy avenue"
Master,Andersson,Sigvard Harald Elias,,Southend-on-Sea,SS6 OM1,5 Sharp lake
Mr.,Bengtsson,John Viktor,,Harrow,HA6 MUG,9 Briggs plaza
Miss,Graham,Margaret Edith,,Romford,RM7 Y5V,06 Catherine route
Mr.,Ross,John Hugo,,,,
Miss,Sage,"Dorothy Edith ""Dolly""",,Reading,RG5 FFB,4 Fletcher circles
Mr.,Meyer,August,,Swansea,SA4 PBS,323 Chelsea points
Miss,Crosby,Harriet R,,Southend-on-Sea,SS1 EF0,"Studio 10, Josh tunnel"
Miss,Landergren,Aurora Adelia,,Glasgow,G00 H47,924 Gavin rue
Mr.,Sloper,William Thompson,,Walsall,WS7 7UI,"Studio 36, Jean ways"
Mr.,Widener,Harry Elkins,,,,
Mr.,Chronopoulos,Apostolos,,,,
Mr.,Rood,Hugh Roscoe,,Luton,LU7 TFW,821 Gerald lake
Mr.,Danoff,Yoto,,Dudley,DY5 1HV,159 Grace lane
Mr.,Chambers,Norman Campbell,,Sutton,SM7 10W,6 Mason port
Mr.,Blackwell,Stephen Weart,,Dumfries,DG9 MVU,"Studio 92, Julia roads"
Mr.,Tomlin,Ernest Portage,,Harrow,HA2 BFR,83 Lee valley
Mr.,Harris,George,,Swindon,SN8 JGE,"Studio 7, Lynne cape"
Mr.,Gale,Shadrach,,Hemel Hempstead,HP9 WXO,755 Barry plaza
Mr.,Flynn,John Irwin ,,Hemel Hempstead,HP1 OX1,"Studio 85q, Kevin street"
Mr.,Murdlin,Joseph,,Harrogate,HG6 LD1,3 Kyle coves
Mr.,Chapman,Charles Henry,,Stevenage,SG7 7E9,"Flat 5, Christian court"
Mr.,Sage,Frederick,,Bradford,BD6 P88,"Flat 13X, Mandy flats"
Rev.,Kirkland,Charles Leonard,,Torquay,TQ6 KOE,"Flat 8, Elliott unions"
Mr.,Emir,Farred Chehab,,,,
Miss,Carr,"Helen ""Ellen""",,London,SW9 8P1,49 Barber summit
Mr.,Dimic,Jovan,,Dundee,DD0 NYA,23 Gilbert summit
Mr.,Paulner,Uscher,,,,
Mr.,Hassan,Houssein G N,,,,
Miss,Andrews,Kornelia Theodosia,,Telford,TF2 DZP,"Flat 28N, Clifford turnpike"
Miss,Bourke,Mary,,Liverpool,L03 NCY,00 Dean mountain
Mr.,Jonsson,Carl,,Preston,PR9 XJ7,"Flat 2, Kathryn radial"
Mr.,Natsch,Charles H,,,,
Miss,Duran y More,Asuncion,,,,
Miss,Mellinger,Madeleine Violet,,London,EC3 WZZ,"Studio 39, Hamilton circles"
Mrs.,Shelley,Imanita Parrish,Hall,Bromley,BR6 UYQ,77 Jackson fork
Mr.,Kink,Vincenz,,Oxford,OX0 A7S,4 Barbara track
Mrs.,Brown,Elizabeth Catherine,Ford,Hemel Hempstead,HP3 RZW,"Studio 2, Barnes isle"
Miss,Fortune,Mabel Helen,,Romford,RM7 04U,125 Conor garden
